league,season,game,md,team,opponent,venue,gf,ga,gd,result,points,was_ahead,was_behind,points_from_losing,points_dropped_from_winning,win_from_behind,draw_from_behind,loss_from_ahead,draw_from_ahead
UPL,2025/26,BUL-VS-URA,1,URA,BUL,away,0,0,0,D,1,False,False,0,0,False,False,False,False
UPL,2025/26,BUL-VS-URA,1,BUL,URA,home,0,0,0,D,1,False,False,0,0,False,False,False,False
UPL,2025/26,ENTEBBE-VS-BUHIMBA,1,BUHIMBA,ENTEBBE,away,1,0,1,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,ENTEBBE-VS-BUHIMBA,1,ENTEBBE,BUHIMBA,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,EXPRESS-VS-UPDF,1,UPDF,EXPRESS,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,EXPRESS-VS-UPDF,1,EXPRESS,UPDF,home,1,0,1,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,KITARA-VS-KCCA,1,KCCA,KITARA,away,1,1,0,D,1,False,True,1,0,False,True,False,False
UPL,2025/26,KITARA-VS-KCCA,1,KITARA,KCCA,home,1,1,0,D,1,True,False,0,2,False,False,False,True
UPL,2025/26,LUGAZI-VS-CALVARY,1,CALVARY,LUGAZI,away,1,3,-2,L,0,True,True,0,3,False,False,True,False
UPL,2025/26,LUGAZI-VS-CALVARY,1,LUGAZI,CALVARY,home,3,1,2,W,3,True,True,3,0,True,False,False,False
UPL,2025/26,POLICE-VS-MBARARA,1,MBARARA,POLICE,away,1,1,0,D,1,False,True,1,0,False,True,False,False
UPL,2025/26,POLICE-VS-MBARARA,1,POLICE,MBARARA,home,1,1,0,D,1,True,False,0,2,False,False,False,True
UPL,2025/26,BUHIMBA-VS-CALVARY,2,CALVARY,BUHIMBA,away,0,2,-2,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,BUHIMBA-VS-CALVARY,2,BUHIMBA,CALVARY,home,2,0,2,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,BUL-VS-MAROONS,2,MAROONS,BUL,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,BUL-VS-MAROONS,2,BUL,MAROONS,home,1,0,1,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,KCCA-VS-VILLA,2,VILLA,KCCA,away,1,2,-1,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,KCCA-VS-VILLA,2,KCCA,VILLA,home,2,1,1,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,MBARARA-VS-UPDF,2,UPDF,MBARARA,away,1,0,1,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,MBARARA-VS-UPDF,2,MBARARA,UPDF,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,POLICE-VS-EXPRESS,2,EXPRESS,POLICE,away,1,2,-1,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,POLICE-VS-EXPRESS,2,POLICE,EXPRESS,home,2,1,1,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,URA-VS-NEC,2,NEC,URA,away,1,1,0,D,1,True,False,0,2,False,False,False,True
UPL,2025/26,URA-VS-NEC,2,URA,NEC,home,1,1,0,D,1,False,True,1,0,False,True,False,False
UPL,2025/26,MBARARA-VS-BUL,3,BUL,MBARARA,away,1,1,0,D,1,True,False,0,2,False,False,False,True
UPL,2025/26,MBARARA-VS-BUL,3,MBARARA,BUL,home,1,1,0,D,1,False,True,1,0,False,True,False,False
UPL,2025/26,NEC-VS-POLICE,3,POLICE,NEC,away,2,2,0,D,1,False,True,1,0,False,True,False,False
UPL,2025/26,NEC-VS-POLICE,3,NEC,POLICE,home,2,2,0,D,1,True,False,0,2,False,False,False,True
UPL,2025/26,UPDF-VS-MAROONS,3,MAROONS,UPDF,away,2,1,1,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,UPDF-VS-MAROONS,3,UPDF,MAROONS,home,1,2,-1,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,URA-VS-EXPRESS,3,EXPRESS,URA,away,1,1,0,D,1,False,True,1,0,False,True,False,False
UPL,2025/26,URA-VS-EXPRESS,3,URA,EXPRESS,home,1,1,0,D,1,True,False,0,2,False,False,False,True
UPL,2025/26,VILLA-VS-ENTEBBE,3,ENTEBBE,VILLA,away,1,1,0,D,1,True,False,0,2,False,False,False,True
UPL,2025/26,VILLA-VS-ENTEBBE,3,VILLA,ENTEBBE,home,1,1,0,D,1,False,True,1,0,False,True,False,False
UPL,2025/26,BUL-VS-BUHIMBA,4,BUHIMBA,BUL,away,0,3,-3,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,BUL-VS-BUHIMBA,4,BUL,BUHIMBA,home,3,0,3,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,ENTEBBE-VS-NEC,4,NEC,ENTEBBE,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,ENTEBBE-VS-NEC,4,ENTEBBE,NEC,home,1,0,1,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,EXPRESS-VS-KCCA,4,KCCA,EXPRESS,away,1,0,1,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,EXPRESS-VS-KCCA,4,EXPRESS,KCCA,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,KITARA-VS-MBARARA,4,MBARARA,KITARA,away,2,3,-1,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,KITARA-VS-MBARARA,4,KITARA,MBARARA,home,3,2,1,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,LUGAZI-VS-URA,4,URA,LUGAZI,away,0,0,0,D,1,False,False,0,0,False,False,False,False
UPL,2025/26,LUGAZI-VS-URA,4,LUGAZI,URA,home,0,0,0,D,1,False,False,0,0,False,False,False,False
UPL,2025/26,MAROONS-VS-CALVARY,4,CALVARY,MAROONS,away,0,0,0,D,1,False,False,0,0,False,False,False,False
UPL,2025/26,MAROONS-VS-CALVARY,4,MAROONS,CALVARY,home,0,0,0,D,1,False,False,0,0,False,False,False,False
UPL,2025/26,VILLA-VS-POLICE,4,POLICE,VILLA,away,1,2,-1,L,0,True,True,0,3,False,False,True,False
UPL,2025/26,VILLA-VS-POLICE,4,VILLA,POLICE,home,2,1,1,W,3,True,True,3,0,True,False,False,False
UPL,2025/26,BUHIMBA-VS-VILLA,5,VILLA,BUHIMBA,away,3,0,3,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,BUHIMBA-VS-VILLA,5,BUHIMBA,VILLA,home,0,3,-3,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,BUL-VS-EXPRESS,5,EXPRESS,BUL,away,0,0,0,D,1,False,False,0,0,False,False,False,False
UPL,2025/26,BUL-VS-EXPRESS,5,BUL,EXPRESS,home,0,0,0,D,1,False,False,0,0,False,False,False,False
UPL,2025/26,ENTEBBE-VS-VIPERS,5,VIPERS,ENTEBBE,away,1,0,1,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,ENTEBBE-VS-VIPERS,5,ENTEBBE,VIPERS,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,KCCA-VS-CALVARY,5,CALVARY,KCCA,away,2,4,-2,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,KCCA-VS-CALVARY,5,KCCA,CALVARY,home,4,2,2,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,KITARA-VS-LUGAZI,5,LUGAZI,KITARA,away,0,4,-4,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,KITARA-VS-LUGAZI,5,KITARA,LUGAZI,home,4,0,4,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,MBARARA-VS-NEC,5,NEC,MBARARA,away,1,0,1,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,MBARARA-VS-NEC,5,MBARARA,NEC,home,0,1,-1,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,POLICE-VS-MAROONS,5,MAROONS,POLICE,away,1,2,-1,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,POLICE-VS-MAROONS,5,POLICE,MAROONS,home,2,1,1,W,3,True,False,0,0,False,False,False,False
UPL,2025/26,URA-VS-UPDF,5,UPDF,URA,away,2,3,-1,L,0,False,True,0,0,False,False,False,False
UPL,2025/26,URA-VS-UPDF,5,URA,UPDF,home,3,2,1,W,3,True,False,0,0,False,False,False,False
UPL,2026/27,BLACKS-VS-NTUGASAZE,1,NTUGASAZE,BLACKS,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
UPL,2026/27,BLACKS-VS-NTUGASAZE,1,BLACKS,NTUGASAZE,home,1,0,1,W,3,True,False,0,0,False,False,False,False
UPL,2026/27,BUL-VS-EXPRESS,1,EXPRESS,BUL,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
UPL,2026/27,BUL-VS-EXPRESS,1,BUL,EXPRESS,home,1,0,1,W,3,True,False,0,0,False,False,False,False
UPL,2026/27,KCCA-VS-NEC,1,NEC,KCCA,away,2,0,2,W,3,True,False,0,0,False,False,False,False
